text,start_loc,end_loc
"Residents of Takamori Yama, prepare a go-bag with essentials in case of evacuation! #StayAlert",13,26
Significant shaking reported in Horino. Gather important documents in a safe place! #quakeAlert,32,38
Aftershocks likely in Ōkawarage. Stay updated and be prepared! #earthquake,22,31
"Residents of Sakugakubo, check your emergency kits and supplies! #StaySafe",13,23
Ground shaking detected in Nisatai Gawa. Keep emergency supplies in an easily reachable spot! #disasterPreparedness,27,39
Seismic disturbances noted in Motoshinden. Stay aware and monitor for updates! #disasterAlert,30,41
Seismic activity reported in Sawauchi. Stay aware of your surroundings! #disasterPreparedness,29,37
Reports of significant shaking in Shinokura. Help those around you who may be scared! #earthquake,34,43
Aftershocks in Nisatai are causing concern. Stay updated through reliable sources! #disasterAlert,15,22
Significant shaking reported in Asanai. Stay updated through social media alerts! #quakeAlert,32,38
"Massive earthquake in Kunohedōri, stay safe everyone! #disasterAlert",22,32
Aftershocks shaking Yasawa. Remain vigilant! #disaster,20,26
"Residents of Yatsuya Bashi, check in on the elderly and those who need assistance! #StayAlert",13,26
"Residents of Yuda-uwano, ensure your safety and check on neighbors! #StaySafe",13,23
Tremors felt in Yuda. Move away from heavy furniture and stay safe! #disasterAlert,16,20
Strong shaking reported in Kintaichi Onsen. Ensure your home is prepared for emergencies! #quakeAlert,27,42
Tremors felt in Ōgo. Everyone should stay safe! #quakeAlert,16,19
Shaking felt in Osa Gawa. Keep emergency contacts within reach! #disasterAlert,16,24
Reports of shaking in Kobayashi. Stay indoors and safe! #earthquake,22,31
Earthquake activity near Dannokoshi. Check in with neighbors to ensure their safety! #earthquakeRescue,25,35
Tremors detected near Shimoyamai. Check on neighbors! #earthquakeRescue,22,32
Ground shaking detected in Kono. Have a flashlight and batteries ready! #disasterPreparedness,27,31
Aftershocks may occur in {location=. Have a list of emergency contacts ready! #disasterReady,-1,8
Earthquake activity near Nonoue. Secure heavy furniture and appliances! #earthquakeRescue,25,31
Aftershocks expected in Sotoyama. Maintain a clear exit path in your home! #earthquakeSafety,24,32
Seismic disturbances noted in Sodenosawa. Stay tuned for safety announcements! #disasterAlert,30,40
Residents in Funakoshi Yama advised to stay calm. #StaySafe,13,27
Tremors felt in Shimotai are causing some concern. Stay indoors until further notice! #quakeAlert,16,24
Aftershocks expected in Nakamachi-akiba. Keep your emergency supplies stocked and ready! #earthquakeSafety,24,39
Tremors felt in Ōdōri. Emergency services are on alert! #disasterAlert,16,21
Earthquake detected near Nagakubo. Stay tuned for safety updates! #earthquakeRescue,25,33
Aftershocks expected in Kamimachi. Be prepared and stay informed! #earthquakeSafety,24,33
Reports of significant shaking in Kamitai. Help those in need if it's safe! #earthquake,34,41
Shaking reported in Sawada. Follow safety guidelines and stay cautious! #disasterAlert,20,26
Seismic disturbances noted in Numanokubo. Stay aware and prepared! #disasterAlert,30,40
Tremors felt in Yanagisawa. Keep your emergency kit accessible and stay calm! #earthquakePreparedness,16,26
Reports indicate seismic activity in Kamiyama. Stay informed through reliable sources! #earthquake,37,45
The ground is shaking in Kamonosawa Yama. Please follow safety procedures! #StayAlert,25,40
Shaking reported in Jūmonji. Be aware of your surroundings and stay calm! #disasterAlert,20,27
Aftershocks expected in Kamayashiki. Be prepared for any emergencies! #earthquake,24,35
Earthquake detected near Fukamochi. Stay informed through official sources! #earthquakeRescue,25,34
"Residents of Shimotomai, prepare a go-bag with essentials in case of evacuation! #StayAlert",13,23
Aftershocks in Bonno following recent events. Stay safe! #disasterAlert,15,20
"Residents of Shimomaizawa, plan regular drills to practice your emergency procedures! #StayAlert",13,25
Seismic disturbances noted in Kamimaizawa. Keep a battery-powered radio handy for news updates! #disasterAlert,30,41
"Residents of Sawauchi Gawa, ensure your emergency kits are accessible and ready! #StaySafe",13,26
"Residents in Sotoyama, stay alert and monitor local news for updates! #StayAlert",13,21
Reports of strong shaking in Kusezawa. Be vigilant! #quakeAlert,29,37
"Residents in Kitamuki, stay alert and follow local safety guidelines! #StayAlert",13,21
Strong tremors reported in Shimokaijō. #quakeAlert,27,37
Aftershocks shaking Yachi. Stay safe and follow local advisories! #disasterPreparedness,20,25
Strong shaking reported in Tama Tsutsumi. Stay safe and avoid moving around! #quakeAlert,27,40
Earthquake detected near Azumano. Please check on your neighbors! #earthquakeRescue,25,32
Just received reports of aftershocks in Azuma Gawa. Please avoid unnecessary travel! #disasterAlert,40,50
Strong shaking reported in Naeshirozawa. Make sure your family knows safety procedures! #quakeAlert,27,39
Tremors have been detected in Higashimata Zawa. Keep calm and follow safety measures! #disasterAlert,30,46
Aftershocks have been felt in Minamimata Zawa. Ensure you have your emergency kits ready! #disasterPreparedness,30,45
Reports of significant shaking in Chōkeidaira. Review community resources for disaster response! #earthquake,34,45
Seismic events are affecting Tsugarutaira. Prepare for potential disruptions! #disasterAlert,29,41
"Another earthquake just shook Usuzuki. Everyone, please be safe! #StayAlert",30,37
Strong shaking reported in Kamichōkeidaira. Review your emergency exit routes! #quakeAlert,27,42
Ground shaking detected in Ōrinji. Avoid using elevators during aftershocks! #disasterPreparedness,27,33
Tremors in Engaku Ji. Ensure your emergency kit is easily accessible! #quakeAlert,11,20
"Residents of Nakazawa Gawa, remain calm and stay tuned for updates! #StayAlert",13,26
Tremors felt in Yuno Sawa. Stay indoors and check for any damage! #earthquakePreparedness,16,25
Aftershocks continue in Rokkaku Zawa. Remain vigilant! #disaster,24,36
Another tremor reported in Ōma. Stay safe! #earthquake,27,30
Tremors felt in Yokoiso. Everyone stay cautious! #quakeAlert,16,23
Tremors reported in Kobukura. Stay calm and check your emergency kits! #disasterAlert,20,28
"Residents of Tsubaki Yama, stay aware and prioritize your safety! #StayAlert",13,25
Residents of Sawabe feel strong shaking. Be cautious! #disasterAlert,13,19
Reports confirm shaking in Waseda Gawa. Stay calm and check for injuries! #quakeAlert,27,38
Shaking reported in Sawabe Gawa. Stay indoors and avoid unnecessary travel! #disasterAlert,20,31
Aftershocks may occur in Yamashina. Have a flashlight ready in case of power outages! #disasterReady,25,34
Aftershocks expected in Yoshihana. Keep essential documents in a safe place! #earthquakeSafety,24,33
"Residents of Kiriake Numa, stay calm and be ready for updates! #StayAlert",13,25
"Residents of Tachimachi Saki, remain indoors until the situation stabilizes! #StayAlert",13,28
Shaking reported in Benten Jima. Avoid using elevators and stay on the ground floor! #disasterAlert,20,31
Aftershocks expected in Tamasaka Gawa. Stay away from buildings that may be unstable! #earthquakeSafety,24,37
Earthquake detected near Furonosawa Gawa. Stay tuned for safety updates! #earthquakeRescue,25,40
Aftershocks may occur in Kaigama. Ensure everyone knows their safe spots! #disasterReady,25,32
Tremors reported in Hamano. Stay calm and help others if you can! #StaySafe,20,26
Strong shaking reported in Tamasaka. Make sure you have an emergency plan! #quakeAlert,27,35
"Residents of Iwasaki Gyokō, hold regular community meetings to discuss emergency preparedness! #StayAlert",13,26
"Residents of Wakinosawa, double-check your emergency kits for expired items! #StaySafe",13,23
Reports of an earthquake near Wakinosawa Gawa. Stay tuned for updates and alerts! #earthquakeRescue,30,45
Aftershocks in Tamichi may continue for some time. Stay prepared! #earthquake,15,22
Tremors in Doronosawa Gawa. Stay informed through community alerts and news updates! #quakeAlert,11,26
Seismic activity in Higashikazemata Sawa has been reported. Keep emergency kits accessible! #disasterAlert,20,40
Reports of tremors in Tairadate. Check local updates! #quakeAlert,22,31
Tremors reported in Hisada. Keep a list of nearby shelters and their contact info! #StaySafe,20,26
Aftershocks detected in Koiso. Keep your phone charged and stay alert! #disasterPreparedness,24,29
Tremors reported in Kirinosawa. Review your emergency contact list! #StaySafe,20,30
Significant shaking felt in Shōdōjiri. Ensure your family knows safety procedures! #quakeAlert,28,37
Strong quake hits Shimokura. Emergency services are on high alert. #earthquake,18,27
Earthquake detected near Nedaki Gawa. Stay informed through emergency services! #earthquakeRescue,25,36
"Residents of Gangara Ana, keep your emergency contact list updated and accessible! #StayAlert",13,24
Aftershocks detected in Hirasawa Gawa. Keep your phone charged and stay alert! #disasterPreparedness,24,37
Earthquake detected near Matsuura. Please check on your neighbors! #earthquakeRescue,25,33
Tremors reported in Moriyama Tunnel. Help neighbors who may need assistance during this time! #StaySafe,20,35
Shaking reported in Nigori Kawa. Stay in a safe area and avoid risky locations! #disasterAlert,20,31
"Residents of Matsukami Gawa, remain indoors and listen for further updates! #StayAlert",13,27
Tremors detected in Aiba Gawa. Stay indoors and monitor updates! #disasterAlert,20,29
Aftershocks shaking Komine Gawa. Remain vigilant! #disaster,20,31
Strong shaking reported in Ōmine Gawa. Ensure your family is safe and secure! #quakeAlert,27,37
"Residents of Shirakami Gawa, stay calm and be ready to respond to updates! #StayAlert",13,27
"Residents of Kurosaki Gawa, make sure to check on your neighbors after the shaking! #StaySafe",13,26
Tremors felt in Jūni Ko. Stay calm and avoid panic! #earthquakeAwareness,16,23
Reports of seismic activity in Hakkeino Ike. Stay calm and check on your loved ones! #StaySafe,31,43
Tremors detected near Higurashino Ike. Check on neighbors! #earthquakeRescue,22,37
Tremors reported in Nakano Ike. Ensure your family knows what to do during quakes! #StaySafe,20,30
Tremors in Koshiguchino Ike. Encourage local businesses to promote emergency preparedness! #quakeAlert,11,27
Strong aftershocks felt in Ketobano Ike. Make sure your emergency supplies are ready! #earthquakeSafety,27,39
Significant shaking reported in Kenayamano Ike. Remember to duck and cover! #quakeAlert,32,46
Ground shaking detected in Ochikuchino Ike. Keep emergency contacts handy! #disasterPreparedness,27,42
Significant shaking reported in Itobatakeno Ike. Make sure to check on elderly neighbors! #quakeAlert,32,47
Aftershocks felt in Gobōno Ike. Stay indoors! #earthquake,20,30
Tremors in Futatsumeno Ike. Have your emergency kit accessible and stay informed! #quakeAlert,11,26
Shaking reported in Naga Ike. Stay low and cover your head during tremors! #disasterAlert,20,28
Earthquake detected near Menkozakano Ike. Follow updates from local authorities! #earthquakeRescue,25,40
"Tremors felt in Nigori Ike. If you're in a vehicle, pull over safely and stay put! #disasterAlert",16,26
Reports confirm shaking in Yaburi Ike. Gather important items in case of evacuation! #quakeAlert,27,37
Aftershocks shaking Ao Ike. Stay safe and follow local advisories! #disasterPreparedness,20,26
Earthquake activity near Nihon Canyon. Be prepared for updates from authorities! #earthquakeRescue,25,37
Seismic activity reported in Ōkuzure. Have a backup plan for food and water supplies! #disasterPreparedness,29,36
Massive tremors felt in Shintani Sawa. Emergency services on high alert! #disasterAlert,24,37
Tremors felt in Niseno Sawa. Make sure to have a safety plan in place! #earthquakePreparedness,16,27
Emergency alerts for Terasawa Gawa. Prepare for aftershocks and stay informed! #earthquakeRescue,21,34
"Residents of Jūni Ko Visitor Center, stay aware and be ready for further instructions! #StayAlert",13,35
Tremors felt in Jōgenji. Make sure your pets are safe and calm! #earthquakeAwareness,16,23
A series of aftershocks have been reported near Hakudo Yama. Stay alert and be prepared! #earthquakeRescue,48,59
"Residents of Nakayama Tōge, check your emergency kits and ensure they are stocked! #StaySafe",13,26
Aftershocks may occur in Glory Bokujō. Ensure everyone knows their safe spots! #disasterReady,25,37
Shaking reported in Mate Yama. Remind children to drop and cover during tremors! #disasterAlert,20,29
Aftershocks expected in Fudō Taki. Review your emergency plan with family! #earthquakeSafety,24,33
Seismic disturbances noted in Okazaki. Stay tuned for alerts and updates! #disasterAlert,30,37
Seismic events are affecting Tamogidaira. Prepare for potential disruptions! #disasterAlert,29,40
Tremors felt in Shimada. Be aware of your surroundings! #earthquake,16,23
"Residents of Shimohamamatsu, monitor local news for updates and safety instructions! #StayAlert",13,27
Residents of Nakahamamatsu feel strong quake tremors. #StaySafe,13,26
Ground shaking detected in Kamihamamatsu. Keep emergency contacts accessible! #disasterPreparedness,27,40
A series of aftershocks have been reported near Kohama. Stay alert and be prepared! #earthquakeRescue,48,54
Significant shaking felt in Ōhama. Ensure your family knows safety procedures! #quakeAlert,28,33
"Tremors felt in Motoyama Tōge. If you're in a high-rise, move to a lower floor! #disasterAlert",16,29
New tremors reported in Terakono Misaki. Emergency services activated. #earthquake,24,39
Seismic disturbances noted in Ōkawatai. Stay tuned for alerts and updates! #disasterAlert,30,38
Seismic disturbances noted in Towadako. Follow local authorities for guidance! #disasterAlert,30,38
Significant shaking reported in Ōkawa Zawa. Please avoid unnecessary travel! #disasterAlert,32,42
Seismic activity reported in Wainai Jinja. Have a plan for reuniting with family! #disasterPreparedness,29,41
"Tremors felt in Namari Zawa. Everyone, stay cautious! #StayAlert",16,27
"Residents of Momono Zawa, organize community drills to prepare for earthquakes! #StayAlert",13,24
Aftershocks reported in Mujishi. Please stay safe! #quakeAlert,24,31
Tremors reported in Mujishino Sawa. Stay calm and check your emergency kits! #disasterAlert,20,34
Earthquake activity near Horikiri Zawa. Check in with neighbors to ensure their safety! #earthquakeRescue,25,38
Reports confirm shaking in Aino Sawa. Secure your belongings and stay safe! #quakeAlert,27,36
Tremors detected in Towadano Sawa. Secure your belongings and stay indoors! #disasterAlert,20,33
Reports of seismic activity in Takinosawa Tenbōdai. Stay calm and check on your loved ones! #StaySafe,31,50
Aftershocks shaking Takinosawa Tōge. Please stay safe! #disaster,20,35
Tremors felt in Takino Sawa. Check your emergency plans and stay safe! #earthquake,16,27
Aftershocks may follow in Mizunashi Sawa. Keep your emergency kit within reach! #disasterReady,26,40
Seismic activity reported in Iwakake Zawa. Prepare for potential evacuations! #disasterPreparedness,29,41
Tremors felt in Iwa Dake. Review your emergency plans today! #earthquakePreparedness,16,24
The ground is shaking in Ginzan. Stay informed and keep emergency numbers handy! #disasterPreparedness,25,31
Significant shaking reported in Ginzan Sawa. Make sure everyone is accounted for! #quakeAlert,32,43
Tremors felt in Kamano Sawa are causing some concern. Stay indoors until further notice! #quakeAlert,16,27
Residents of Namariyama feel the tremors again. #StaySafe,13,23
"Tremors felt in Misonage Tōge. Everyone, please stay safe! #StayAlert",16,29
Tremors felt in Namari Yama. Remain calm and take necessary precautions! #earthquakePreparedness,16,27
Significant shaking reported in Hakuuntei Tenbōdai. Keep a flashlight handy for power outages! #quakeAlert,32,50
Tremors in Yodono Misaki. Have an evacuation plan in place just in case! #quakeAlert,11,24
Aftershocks shaking Saruhana Sawa. Keep your emergency kits ready! #disaster,20,33
Aftershocks expected in Saruhana Misaki. Maintain a clear exit path in your home! #earthquakeSafety,24,39
Reports confirm shaking in Ichiya Jima. Stay calm and check for injuries! #quakeAlert,27,38
Tremors in Umagoe Sawa. Organize community gatherings to discuss disaster preparedness! #quakeAlert,11,22
Seismic events are affecting Mizunashi Sawa. Prepare for potential disruptions! #disasterAlert,29,43
Tremors detected in Gentōgura. Remain calm and monitor your local news! #disasterAlert,20,29
Aftershocks may follow in Namariyama Tōge. Keep your emergency kit within reach! #disasterReady,26,41
Reports of strong shaking in Dakigaeri. Stay safe indoors! #earthquake,29,38
The ground is shaking in Sunako Zawa. Stay informed and keep emergency numbers handy! #disasterPreparedness,25,36
"Tremors reported in Shirachi Doi Sawa. Remember to drop, cover, and hold on! #earthquakePreparedness",20,37
Seismic disturbances noted in Yaemon Sawa. Ensure your family has a communication plan! #disasterAlert,30,41
Residents of Kurobuse Zawa urged to prepare for aftershocks. #quakeAlert,13,26
Strong shaking reported in Takataki Zawa. Ensure your family is safe and secure! #quakeAlert,27,40
Shaking reported in Hakka Tōge Tenbōdai. Take a moment to secure loose items in your home! #disasterAlert,20,39
Tremors in Shimeitei Tenbōdai. Stay away from heavy furniture that could tip over! #quakeAlert,11,29
Tremors felt in Kunai Zawa. Make sure your family has a communication plan! #earthquakePreparedness,16,26
Tremors reported in Nagahiki Yama. Gather your family and discuss safety plans! #StaySafe,20,33
Tremors felt in Sasa Mori. Stay away from tall structures and find cover! #earthquakePreparedness,16,25
Tremors reported in Kuro Mori. Follow local authorities for instructions and updates! #StaySafe,20,29
Seismic activity reported in Yoromai Zawa. Make sure you have a family meeting point! #disasterPreparedness,29,41
Residents of Sunagozawa Keikoku Kyō shaken by aftershocks. Stay safe! #earthquake,13,35
Just received reports of aftershocks in Jō. Please avoid unnecessary travel! #disasterAlert,40,42
"Residents of Tokubē Tai, ensure your vehicles are fueled and ready for evacuation! #StaySafe",13,23
"Residents in Magino Tai, stay safe and be aware of your surroundings! #StaySafe",13,23
Ground shaking detected in Kōgakudai. Discuss your evacuation routes with family members! #disasterPreparedness,27,36
Aftershocks expected in Nakanotai. Stay vigilant and ready! #earthquakeSafety,24,33
Tremors in Akaiwa Yama. Stay away from heavy furniture that could tip over! #quakeAlert,11,22
Tremors reported in Yasumitai. Follow local authorities for instructions and updates! #StaySafe,20,29
Tremors felt in Kanda. Emergency services on standby. #earthquake,16,21
Severe tremors reported in Kanda Gawa. Emergency services activated! #disasterAlert,27,37
Reports confirm shaking in Nishino Umi. Gather essential documents in a safe place! #quakeAlert,27,38
Shaking reported in Nakano Umi. Remain calm and follow safety measures! #disasterAlert,20,30
Aftershocks expected in Higashino Umi. Prepare yourself and your family! #earthquake,24,37
Reports of an earthquake near Yasumiya Kō. Stay updated with local news! #earthquakeRescue,30,41
Tremors felt in Ebisu Jima. Remember to stay calm and follow safety protocols! #earthquakeSafety,16,26
Tremors felt in Gozenga Hama. Ensure your family has a safety plan ready! #earthquakePreparedness,16,28
Tremors felt across Kabuto Jima. Please stay indoors! #earthquake,20,31
"Residents of Yoroi Jima, maintain communication with loved ones during this time! #StayAlert",13,23
Severe tremors reported in Kokonoeno Ura. Emergency services activated! #disasterAlert,27,40
Tremors detected in Roppō Iwa. Remain calm and stay indoors! #disasterAlert,20,29
Tremors reported in Gumi Jima. Gather your family and discuss safety plans! #StaySafe,20,29
Earthquake detected near Nishikiga Ura. Follow the guidance of local authorities! #earthquakeRescue,25,38
Seismic activity in Chidoriga Ura. Ensure you have essential supplies ready! #disasterPreparedness,20,33
"Residents of Rōsoku Iwa, stay calm and be ready for updates from authorities! #StayAlert",13,23
Earthquake detected near Senkaku Saki. Stay informed through emergency services! #earthquakeRescue,25,37
Aftershocks shaking Komachi Iwa. Stay safe and follow local advisories! #disasterPreparedness,20,31
"Tremors felt in Narihira Iwa. Everyone, please stay safe! #StayAlert",16,28
Reports of significant shaking in Nakayama Hantō. Check on your loved ones and stay safe! #earthquake,34,48
Seismic events are affecting Towada Jinja. Prepare for potential disruptions! #disasterAlert,29,41
Significant shaking reported in Saruko Zaki. Review your family’s evacuation plan! #quakeAlert,32,43
Seismic disturbances noted in Senbonmatsu. Stay informed and prepared! #disasterAlert,30,41
"Residents of Tsurugi Iwa, check your emergency plans and stay vigilant! #StaySafe",13,24
Seismic disturbances noted in Byōbu Iwa. Stay alert and monitor local news! #disasterAlert,30,39
Massive quake shakes Kankodai. Emergency services on high alert! #disasterAlert,21,29
Tremors in Eboshi iwa. Have your emergency kit ready and stay safe! #quakeAlert,11,21
Tremors felt in Goshiki Iwa. Encourage your community to participate in preparedness training! #earthquakeAwareness,16,27
Tremors detected in Kamoga Saki. Stay indoors and monitor updates! #disasterAlert,20,31
"Residents of Higurashi Zaki, participate in local disaster drills to stay prepared! #StayAlert",13,27
Aftershocks in Senjōmaku. Be prepared for anything! #disasterAlert,15,24
"Residents of Ogura Hantō, stay calm and listen for emergency updates! #StayAlert",13,24
"Residents of Kojimaga Ura, check local resources for emergency assistance programs! #StayAlert",13,25
Strong shaking reported in Okuse. Stay indoors and avoid crowded places! #quakeAlert,27,32
Strong shaking reported in Taka Yama. Ensure your home is ready for emergencies! #quakeAlert,27,36
Tremors detected in Utarube Gawa. Please remain indoors and avoid crowded areas! #disasterAlert,20,32
Tremors felt in Kumatori Bokujō. Stay indoors and safe! #earthquake,16,31
Earthquake detected in Samu Zawa. Check on your neighbors! #earthquakeRescue,23,32
Reports confirm tremors in Goryōno Taki. Stay indoors and avoid any distractions! #earthquake,27,39
Tremors reported in Chōshi Ōtaki. Stay updated on local news for safety information! #StaySafe,20,32
Residents of Kudanno Taki feel the tremors again. #StaySafe,13,25
Significant shaking reported in Kotatami Ishi. Stay aware of your surroundings and hazards! #quakeAlert,32,45
Seismic activity reported in Ōtatami Ishi. Stay aware of your surroundings! #disasterPreparedness,29,41
Reports of significant shaking in Mikado Ishi. Check on pets and keep them calm! #earthquake,34,45
Earthquake activity in Towari Yama. Stay safe and avoid panic! #earthquakeRescue,23,34
Strong tremors reported in Mayoga Tai. #quakeAlert,27,37
"Residents of Mayoga Tai Shizen Kyūyō Rin, stay indoors until you receive updates! #StayAlert",13,40
"Residents of Nuru Sawa, review your emergency evacuation routes today! #StaySafe",13,22
"Residents of Nagano Tai, plan regular drills to practice your emergency procedures! #StayAlert",13,23
Significant shaking reported in Oguni Bokujō. Stay calm and follow local guidance! #quakeAlert,32,44
"Residents of Hakkō Zawa, ensure your safety and check on neighbors! #StaySafe",13,23
Shaking reported in Higashino Mori. Keep emergency numbers easily accessible! #disasterAlert,20,34
Tremors reported in Nishino Mori. Make sure your family knows what to do! #StaySafe,20,32
Shaking reported in Tashiro Tai. Stay low and cover your head during tremors! #disasterAlert,20,31
Strong aftershocks expected in Kotashiro Gawa. Stay prepared and informed! #StayAlert,31,45
Seismic activity noted in Tashiro Mori. Keep your emergency supplies stocked! #disasterPreparedness,26,38
Aftershocks may occur in Tashiro. Keep a battery-powered radio handy! #disasterReady,25,32
Aftershocks possible in Kumatori Tai. Keep your emergency contacts ready! #disasterReady,24,36
Shaking reported in Tashiro Gawa. Have a communication plan with your family! #disasterAlert,20,32
Earthquake detected near Tashiro Zawa. Follow updates from local authorities! #earthquakeRescue,25,37
Reports of an earthquake near Kumatori. Stay tuned for safety updates! #earthquakeRescue,30,38
Earthquake activity near Kumatori Zawa. Secure heavy furniture and appliances! #earthquakeRescue,25,38
Tremors reported in Towada-oyu. Stay tuned to local news for updates! #quakeAlert,20,30
"Tremors felt in Hiromori Gawa. Everyone, please stay alert! #StayAlert",16,29
Reports of tremors in Karatama Zawa. Stay safe and prepared! #earthquake,22,35
Tremors reported in Zenkichi Gawa. Stay tuned to local news for updates! #quakeAlert,20,33
Shaking reported in Nuru Kawa. Stay connected with family through group chats! #disasterAlert,20,29
Ground shaking detected in Hiromori Yama. Keep emergency contacts accessible! #disasterPreparedness,27,40
Seismic disturbances noted in Morino Sawa. Keep a fire extinguisher handy in case of emergencies! #disasterAlert,30,41
"Residents of Nurukawa Sawa, remain indoors until you receive the all-clear! #StayAlert",13,26
Seismic activity reported in Nakano Sawa. Be ready to help neighbors who may be affected! #disasterPreparedness,29,40
Reports indicate tremors in Hiya Kawa. Stay inside and stay safe! #earthquake,28,37
Earthquake activity near Higashino Sawa. Stay updated with local news channels! #earthquakeRescue,25,39
Shaking detected in Nishino Sawa. Please secure your belongings and stay indoors! #disasterPreparedness,20,32
Aftershocks likely in Nakataki. Stay updated and be prepared! #earthquake,22,30
Aftershocks may occur in Aoiwa Yama. Review your family's emergency plan! #disasterReady,25,35
Earthquake detected near Yasuke Zawa. Follow local authorities for safety updates! #earthquakeRescue,25,36
Reports of significant shaking in Naka Daki. Help others if it’s safe to do so! #earthquake,34,43
Tremors felt in Tomaridaki. Review your home’s structural safety features! #earthquakeAwareness,16,26
Reports of significant shaking in Tsuranai Zawa. Share resources about earthquake safety online! #earthquake,34,47
Earthquake activity near Sasamori Yama. Review your insurance policies and coverage! #earthquakeRescue,25,38
"Tremors felt in Aosaba Yama. Everyone, stay cautious! #StayAlert",16,27
"Residents of Chōshino Taki, stay calm and be ready to respond to updates! #StayAlert",13,26
"Residents in Shirasawa, ensure you are prepared for possible aftershocks! #earthquake",13,22
Reports of significant shaking in Netsutosawa Gawa. Make sure to check on your neighbors! #earthquake,34,50
Strong shaking felt in Konetsuto Zawa. Ensure your emergency plan is in place! #quakeAlert,23,37
Strong shaking reported in O Daki. Secure your belongings and stay indoors! #quakeAlert,27,33
Tremors reported in Ōrakumae. Stay informed and follow safety instructions! #StaySafe,20,28
"Residents of Ōrakumae Sawa, stay together and look out for each other! #StayAlert",13,26
"Tremors felt in Ōde Sawa. If you’re at work, follow your company's safety protocol! #disasterAlert",16,24
"Residents of Demae Zawa, consider forming a neighborhood watch for emergencies! #StayAlert",13,23
Ground shaking detected in Tsuchitaki Sawa. Discuss your family's emergency plan regularly! #disasterPreparedness,27,42
Aftershocks reported in Ageno Sawa. Please stay safe! #quakeAlert,24,34
Aftershocks expected in Takakuzure. Be prepared and stay informed! #earthquakeSafety,24,34
Earthquake detected near Tsukushi Mori. Follow the guidance of local authorities! #earthquakeRescue,25,38
Seismic disturbances noted in Tsuchizawa. Follow local authorities for guidance! #disasterAlert,30,40
Reports confirm tremors in Ōginotai. Stay indoors and avoid any distractions! #earthquake,27,35
Tremors in Takaiba Yama. Encourage local businesses to promote emergency preparedness! #quakeAlert,11,23
Tremors felt in Togura Mori. Prepare for possible power outages and have flashlights ready! #earthquakePreparedness,16,27
"Residents in Ōshimizu Gawa, stay alert and follow instructions from local authorities! #StayAlert",13,26
"Residents of Ōwataru, ensure you have your emergency supplies ready. Stay alert! #StaySafe",13,20
Aftershocks shaking Tsukubo Sawa. Stay prepared! #disaster,20,32
Aftershocks expected in Higashitsukubo Sawa. Stay in a safe location and keep informed! #earthquakeSafety,24,43
Tremors have been felt in Oguni Gawa. Follow local safety guidelines! #quakeAlert,26,36
Strong aftershocks reported in Uwamuki. Stay safe! #quakeAlert,31,38
"Aftershocks shaking Fujiwara. Everyone, please stay cautious! #disaster",20,28
Tremors felt in Nana Taki. Make sure to check on your emergency plans! #earthquake,16,25
"Residents of Nanataki Zawa, ensure your gas lines are secure and avoid open flames! #StaySafe",13,26
Aftershocks expected in Tochi Zawa. Stay vigilant and ready! #earthquakeSafety,24,34
Tremors felt in Monogusa Zawa. Move away from heavy furniture and stay safe! #disasterAlert,16,29
Aftershocks likely in Futawatari. Stay updated and be prepared! #earthquake,22,32
Tremors felt in Tokito. Stay away from tall structures and find cover! #earthquakePreparedness,16,22
"Tremors felt in Arakawa Gawa. Practice your drop, cover, and hold on technique regularly! #earthquakeAwareness",16,28
Strong aftershocks in Kotaki Zawa. Remain cautious and look out for your neighbors! #quakeAlert,22,33
Aftershocks expected in Jōtoku Bashi. Have your evacuation plan ready to go! #earthquakeSafety,24,36
"Residents of Nurukawa Zawa, keep your emergency contact list updated and accessible! #StayAlert",13,26
Tremors in Ohanja Mori. Secure heavy furniture and stay alert for updates! #quakeAlert,11,22
Seismic activity reported in Kuro Sawa. Have a backup plan for food and water supplies! #disasterPreparedness,29,38
Tremors reported in Nekoshi Sawa. Plan to meet family in a designated safe location! #StaySafe,20,32
Aftershocks in Koyaba Sawa. Be cautious! #disasterAlert,15,26
Aftershocks expected in Niijima Airport. Maintain communication with family members! #earthquakeSafety,24,39
"Residents of Kōzushima Airport, check your emergency kits and stay indoors! #StaySafe",13,30
Tremors in Yamato Chō. Familiarize yourself with the nearest emergency shelters! #quakeAlert,11,21
"Residents of Nishitsugaru-gun, remain calm and be ready for updates from authorities! #StayAlert",13,29
Aftershocks expected in Chūō-ku. Be prepared and keep emergency supplies handy! #earthquakeSafety,24,31
Reports of shaking in Chūō Ku. Stay informed and safe! #earthquake,22,29
Tremors reported in Ueno Dōbutsuen Nishien Eki. Stay calm and help others if you can! #StaySafe,20,46
Tremors in Shinjuku Nishiguchi Eki. Have your emergency kit accessible and stay informed! #quakeAlert,11,34
"Residents of Shinjuku-sanchōme Station, check your emergency supplies and stay alert! #StaySafe",13,38
Tremors reported in Ariake Tennis no Mori Eki. Keep a list of nearby shelters and their contact info! #StaySafe,20,45
Reports confirm shaking in Shinjuku Gyoenmae Eki. Monitor local channels for updates! #quakeAlert,27,48
Aftershocks in Tōkyō Metro Nihonbashi Eki. Be cautious! #disasterAlert,15,41
Shaking reported in Ōsaka Tenmangū-eki. Keep emergency numbers easily accessible! #disasterAlert,20,38
Reports confirm shaking in Tennōji-eki-mae-eki. Gather important items in case of evacuation! #quakeAlert,27,46
